,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007,80000.0,45000,Petrol
1,Mahindra Jeep CL550,Mahindra,2006,425000.0,40,Diesel
2,Hyundai Grand i10,Hyundai,2014,325000.0,28000,Petrol
3,Ford EcoSport Titanium,Ford,2014,575000.0,36000,Diesel
4,Ford Figo,Ford,2012,175000.0,41000,Diesel
5,Hyundai Eon,Hyundai,2013,190000.0,25000,Petrol
6,Ford EcoSport Ambiente,Ford,2016,830000.0,24530,Diesel
7,Maruti Suzuki Alto,Maruti,2015,250000.0,60000,Petrol
8,Skoda Fabia Classic,Skoda,2010,182000.0,60000,Petrol
9,Maruti Suzuki Stingray,Maruti,2015,315000.0,30000,Petrol
10,Hyundai Elite i20,Hyundai,2014,415000.0,32000,Petrol
11,Mahindra Scorpio SLE,Mahindra,2015,320000.0,48660,Diesel
12,Audi Q7,Audi,2014,500000.0,16934,Diesel
13,Mahindra Scorpio S10,Mahindra,2016,350000.0,43000,Diesel
14,Maruti Suzuki Alto,Maruti,2014,160000.0,35550,Petrol
15,Mahindra Scorpio S10,Mahindra,2016,310000.0,39522,Diesel
16,Maruti Suzuki Alto,Maruti,2015,75000.0,39000,Petrol
17,Hyundai i20 Sportz,Hyundai,2012,100000.0,55000,Petrol
18,Maruti Suzuki Alto,Maruti,2017,190000.0,72000,Petrol
19,Maruti Suzuki Vitara,Maruti,2016,290000.0,15975,Diesel
20,Maruti Suzuki Alto,Maruti,2008,95000.0,70000,Petrol
21,Mahindra Bolero DI,Mahindra,2017,180000.0,23452,Diesel
22,Maruti Suzuki Swift,Maruti,2014,385000.0,35522,Diesel
23,Mahindra Scorpio S10,Mahindra,2015,250000.0,48508,Diesel
24,Maruti Suzuki Swift,Maruti,2017,180000.0,15487,Petrol
25,Maruti Suzuki Wagon,Maruti,2013,105000.0,39000,Petrol
26,Maruti Suzuki Wagon,Maruti,2013,105000.0,39000,Petrol
27,Toyota Innova 2.0,Toyota,2012,650000.0,82000,Diesel
28,Renault Lodgy 85,Renault,2018,689999.0,20000,Diesel
29,Skoda Yeti Ambition,Skoda,2012,448000.0,68000,Diesel
30,Maruti Suzuki Baleno,Maruti,2017,549000.0,32000,Diesel
31,Renault Duster 110,Renault,2012,501000.0,38000,Diesel
32,Renault Duster 85,Renault,2013,489999.0,27000,Diesel
33,Honda City 1.5,Honda,2011,280000.0,33000,Petrol
34,Maruti Suzuki Dzire,Maruti,2013,349999.0,46000,Diesel
35,Honda Amaze,Honda,2013,284999.0,46000,Diesel
36,Honda Amaze 1.5,Honda,2015,345000.0,36000,Diesel
37,Honda City,Honda,2015,499999.0,55000,Petrol
38,Datsun Redi GO,Datsun,2017,235000.0,16000,Petrol
39,Maruti Suzuki SX4,Maruti,2010,249999.0,36000,Petrol
40,Mahindra Scorpio S10,Mahindra,2015,395000.0,35000,Diesel
41,Maruti Suzuki Swift,Maruti,2017,220000.0,30874,Petrol
42,Honda City ZX,Honda,2017,170000.0,15000,Diesel
43,Maruti Suzuki Wagon,Maruti,2013,85000.0,29685,Petrol
44,Mahindra Scorpio SLE,Mahindra,2012,570000.0,19000,Diesel
45,Volkswagen Polo Highline,Volkswagen,2014,315000.0,60000,Petrol
46,Chevrolet Spark LS,Chevrolet,2010,110000.0,41000,Petrol
47,Renault Duster 110PS,Renault,2012,501000.0,35000,Diesel
48,Honda City,Honda,2015,448999.0,54000,Petrol
49,Skoda Fabia 1.2L,Skoda,2011,159500.0,38200,Diesel
50,Honda Amaze,Honda,2015,344999.0,22000,Petrol
51,Renault Duster,Renault,2014,449999.0,50000,Diesel
52,Mahindra Scorpio S4,Mahindra,2015,865000.0,30000,Diesel
53,Mahindra Scorpio VLX,Mahindra,2014,699000.0,50000,Diesel
54,Mahindra Quanto C8,Mahindra,2013,375000.0,20000,Diesel
55,Ford EcoSport,Ford,2017,489999.0,39000,Petrol
56,Honda Brio,Honda,2012,224999.0,30000,Petrol
57,Hyundai i20 Magna,Hyundai,2009,195000.0,32000,Petrol
58,Toyota Corolla Altis,Toyota,2010,351000.0,38000,Diesel
59,Hyundai Verna Transform,Hyundai,2008,160000.0,45000,Petrol
60,Toyota Corolla Altis,Toyota,2009,240000.0,35000,Petrol
61,Honda City 1.5,Honda,2005,90000.0,50000,Petrol
62,Skoda Fabia 1.2L,Skoda,2011,155000.0,45863,Diesel
63,BMW 3 Series,BMW,2011,600000.0,60500,Petrol
64,Maruti Suzuki A,Maruti,2011,189500.0,12500,Petrol
65,Toyota Etios GD,Toyota,2013,350000.0,60000,Diesel
66,Ford Figo Diesel,Ford,2012,210000.0,35000,Diesel
67,Maruti Suzuki Swift,Maruti,2014,390000.0,35000,Petrol
68,Chevrolet Beat LT,Chevrolet,2012,135000.0,45000,Diesel
69,Mahindra XUV500 W8,Mahindra,2013,701000.0,38000,Diesel
70,Hyundai i10 Magna,Hyundai,2014,265000.0,18000,Petrol
71,Hyundai Verna Fluidic,Hyundai,2015,525000.0,35000,Diesel
72,Maruti Suzuki Swift,Maruti,2013,372000.0,13349,Petrol
73,Maruti Suzuki Ertiga,Maruti,2016,635000.0,29000,Petrol
74,Ford EcoSport Titanium,Ford,2014,550000.0,44000,Diesel
75,Maruti Suzuki Ertiga,Maruti,2016,575000.0,29000,Petrol
76,Maruti Suzuki Ertiga,Maruti,2013,485000.0,42000,Diesel
77,Maruti Suzuki Alto,Maruti,2012,155000.0,14000,Petrol
78,Hyundai Grand i10,Hyundai,2014,345000.0,49000,Diesel
79,Honda Amaze 1.2,Honda,2014,325000.0,42000,Petrol
80,Hyundai i20 Asta,Hyundai,2012,329500.0,36200,Diesel
81,Ford Figo Diesel,Ford,2014,195000.0,50000,Diesel
82,Maruti Suzuki Eeco,Maruti,2015,251111.0,55000,Petrol
83,Maruti Suzuki Ertiga,Maruti,2014,569999.0,45000,Petrol
84,Maruti Suzuki Esteem,Maruti,2007,69999.0,51000,Petrol
85,Maruti Suzuki Ritz,Maruti,2014,299999.0,19000,Petrol
86,Maruti Suzuki Dzire,Maruti,2009,220000.0,46000,Petrol
87,Maruti Suzuki Ritz,Maruti,2013,399999.0,33000,Diesel
88,Maruti Suzuki Dzire,Maruti,2015,450000.0,104000,Diesel
89,Toyota Etios Liva,Toyota,2014,270000.0,55000,Petrol
90,Hyundai i20 Sportz,Hyundai,2011,350000.0,33333,Diesel
91,Chevrolet Spark,Chevrolet,2012,158400.0,33600,Petrol
92,Maruti Suzuki Alto,Maruti,2017,350000.0,5600,Petrol
93,Nissan Micra XV,Nissan,2011,179000.0,41000,Petrol
94,Maruti Suzuki Swift,Maruti,2007,125000.0,70000,Petrol
95,Maruti Suzuki Alto,Maruti,2018,200000.0,7500,Petrol
96,Honda Amaze 1.5,Honda,2013,299000.0,45000,Diesel
97,Maruti Suzuki Alto,Maruti,2015,220000.0,38000,Petrol
98,Chevrolet Beat,Chevrolet,2015,150000.0,30000,Petrol
99,Honda City 1.5,Honda,2010,285000.0,35000,Petrol
100,Ford EcoSport Trend,Ford,2016,830000.0,24330,Diesel
101,Hyundai i20 Asta,Hyundai,2009,210000.0,65480,Petrol
102,Maruti Suzuki Swift,Maruti,2013,340000.0,41000,Petrol
103,Tata Indica V2,Tata,2006,90000.0,20000,Petrol
104,Toyota Corolla Altis,Toyota,2010,289999.0,70000,Petrol
105,Toyota Corolla Altis,Toyota,2012,349999.0,59000,Petrol
106,Toyota Innova 2.5,Toyota,2012,849999.0,99000,Diesel
107,Volkswagen Jetta Highline,Volkswagen,2014,749999.0,46000,Diesel
108,Volkswagen Polo Comfortline,Volkswagen,2015,399999.0,2800,Petrol
109,Volkswagen Polo,Volkswagen,2014,274999.0,32000,Petrol
110,Nissan Sunny,Nissan,2012,224999.0,45000,Petrol
111,Hyundai Elite i20,Hyundai,2018,599999.0,21000,Petrol
112,Renault Kwid,Renault,2016,244999.0,11000,Petrol
113,Renault Duster,Renault,2013,399999.0,41000,Diesel
114,Renault Duster,Renault,2014,474999.0,50000,Diesel
115,Mahindra Scorpio VLX,Mahindra,2011,499999.0,66000,Diesel
116,Maruti Suzuki Alto,Maruti,2018,310000.0,3000,Petrol
117,Chevrolet Spark LT,Chevrolet,2010,85000.0,45000,Petrol
118,Datsun Redi GO,Datsun,2016,245000.0,7000,Petrol
119,Maruti Suzuki Swift,Maruti,2010,189500.0,38500,Diesel
120,Fiat Punto Emotion,Fiat,2012,169500.0,37200,Diesel
121,Maruti Suzuki Swift,Maruti,2010,159500.0,43200,Diesel
122,Toyota Etios GD,Toyota,2013,275000.0,24800,Petrol
123,Hyundai i20 Sportz,Hyundai,2014,370000.0,60000,Diesel
124,Hyundai i10 Sportz,Hyundai,2010,168000.0,45872,Petrol
125,Chevrolet Beat LT,Chevrolet,2011,150000.0,40000,Diesel
126,Chevrolet Beat LS,Chevrolet,2011,145000.0,45000,Diesel
127,Chevrolet Beat LT,Chevrolet,2012,98500.0,38000,Diesel
128,Tata Indigo CS,Tata,2011,85000.0,11400,Diesel
129,Toyota Corolla Altis,Toyota,2015,575000.0,42000,Petrol
130,Honda City 1.5,Honda,2014,549000.0,39000,Petrol
131,Maruti Suzuki Swift,Maruti,2011,209000.0,47000,Diesel
132,Hyundai Eon Era,Hyundai,2013,185000.0,27000,Petrol
133,Mahindra Scorpio S10,Mahindra,2015,900000.0,97200,Diesel
134,Mahindra XUV500,Mahindra,2014,699999.0,52000,Diesel
135,Ford Fiesta,Ford,2011,274999.0,55000,Diesel
136,Honda City,Honda,2015,599999.0,30000,Diesel
137,Maruti Suzuki Wagon,Maruti,2012,199999.0,44000,Petrol
138,Honda City,Honda,2014,544999.0,45000,Diesel
139,Hyundai i20,Hyundai,2009,199000.0,31000,Petrol
140,Hyundai Fluidic Verna,Hyundai,2015,540000.0,38000,Diesel
141,Mahindra Quanto C8,Mahindra,2013,340000.0,37000,Diesel
142,Fiat Petra ELX,Fiat,2008,75000.0,65000,Petrol
143,Hyundai Santro Xing,Hyundai,2005,49000.0,7500,Petrol
144,Maruti Suzuki Ciaz,Maruti,2016,700000.0,3350,Petrol
145,Hyundai Creta 1.6,Hyundai,2017,895000.0,32000,Petrol
146,Mahindra Scorpio SLX,Mahindra,2007,355000.0,75000,Diesel
147,Mahindra Scorpio SLE,Mahindra,2012,565000.0,62000,Diesel
148,Toyota Innova 2.5,Toyota,2006,365000.0,73000,Diesel
149,Maruti Suzuki Alto,Maruti,2011,145000.0,41000,Petrol
150,Maruti Suzuki Wagon,Maruti,2011,210000.0,35000,Petrol
151,Tata Nano Cx,Tata,2013,40000.0,2200,Petrol
152,Maruti Suzuki Alto,Maruti,2013,125000.0,39000,Petrol
153,Maruti Suzuki Wagon,Maruti,2009,135000.0,45000,Petrol
154,Maruti Suzuki Swift,Maruti,2006,135000.0,45000,Petrol
155,Tata Sumo Victa,Tata,2012,285000.0,65000,Diesel
156,Maruti Suzuki Wagon,Maruti,2010,145000.0,54870,Petrol
157,Maruti Suzuki Alto,Maruti,2010,135000.0,34580,Petrol
158,Volkswagen Passat Diesel,Volkswagen,2009,450000.0,97000,Diesel
